show_id,theater_id,movie_id,screen_no,show_time
S000037,T0001,M0391,3,2025-06-20T19:00:00
S000038,T0001,M0165,5,2025-06-28T19:00:00
S000039,T0001,M0068,3,2025-06-24T19:00:00
S000040,T0001,M0493,5,2025-06-21T16:00:00
S000041,T0001,M0227,1,2025-06-30T13:00:00
S000042,T0001,M0477,2,2025-06-30T13:00:00
S000043,T0001,M0341,5,2025-06-23T19:00:00
S000044,T0001,M0453,5,2025-06-22T22:00:00
S000045,T0001,M0055,2,2025-06-28T10:00:00
S000046,T0001,M0377,2,2025-06-29T22:00:00
S000047,T0001,M0337,5,2025-06-30T19:00:00
S000048,T0001,M0466,2,2025-06-24T16:00:00
S000049,T0001,M0310,3,2025-06-26T22:00:00
S000050,T0001,M0053,5,2025-06-28T22:00:00
S000051,T0001,M0469,5,2025-06-26T10:00:00
S000052,T0001,M0391,3,2025-06-29T13:00:00
S000053,T0001,M0463,1,2025-06-22T19:00:00
S000054,T0001,M0212,2,2025-06-30T19:00:00
S000055,T0001,M0368,3,2025-06-27T19:00:00
S000056,T0001,M0269,1,2025-06-29T16:00:00
S000057,T0001,M0031,2,2025-06-20T16:00:00
S000058,T0001,M0426,2,2025-06-28T19:00:00
S000059,T0001,M0002,2,2025-06-28T22:00:00
S000060,T0001,M0168,3,2025-06-24T13:00:00
S000061,T0001,M0357,1,2025-06-28T16:00:00
S000062,T0001,M0356,4,2025-06-20T13:00:00
S000063,T0001,M0033,5,2025-06-20T22:00:00
S000064,T0001,M0189,1,2025-06-26T10:00:00
S000065,T0001,M0121,2,2025-06-24T10:00:00
S000066,T0001,M0082,1,2025-06-24T10:00:00
S000067,T0001,M0435,2,2025-06-29T22:00:00
S000068,T0001,M0065,2,2025-06-23T10:00:00
S000069,T0001,M0066,1,2025-06-30T19:00:00
S000070,T0001,M0085,2,2025-06-20T19:00:00
S000071,T0001,M0366,4,2025-06-25T13:00:00
S000072,T0001,M0319,2,2025-06-26T19:00:00
S000073,T0001,M0172,1,2025-06-23T19:00:00
S000074,T0001,M0461,3,2025-06-26T22:00:00
S000075,T0001,M0059,5,2025-06-26T13:00:00
S000076,T0001,M0068,1,2025-06-26T22:00:00
S000077,T0001,M0328,2,2025-06-25T13:00:00
S000078,T0001,M0036,2,2025-06-25T19:00:00
S000079,T0001,M0479,5,2025-06-24T19:00:00
S000080,T0001,M0044,3,2025-06-22T19:00:00
S000081,T0001,M0109,5,2025-06-23T22:00:00
S000082,T0001,M0171,2,2025-06-26T10:00:00
S000083,T0001,M0462,5,2025-06-26T10:00:00
S000084,T0001,M0229,5,2025-06-24T22:00:00
S000085,T0001,M0224,5,2025-06-27T10:00:00
S000086,T0001,M0243,3,2025-06-30T19:00:00
S000087,T0001,M0300,2,2025-06-26T22:00:00
S000088,T0001,M0476,5,2025-06-22T19:00:00
S000089,T0001,M0130,1,2025-06-28T16:00:00
S000090,T0001,M0166,5,2025-06-30T16:00:00
S000091,T0001,M0064,1,2025-06-23T16:00:00
S000092,T0001,M0083,5,2025-06-22T13:00:00
S000093,T0001,M0386,1,2025-06-22T16:00:00
S000094,T0001,M0094,1,2025-06-25T16:00:00
S000095,T0001,M0327,2,2025-06-26T19:00:00
S000096,T0001,M0020,2,2025-06-29T10:00:00
S000097,T0001,M0178,3,2025-06-29T13:00:00
S000098,T0001,M0128,2,2025-06-26T16:00:00
S000099,T0001,M0116,2,2025-06-23T10:00:00
S000100,T0001,M0019,5,2025-06-25T22:00:00
S000101,T0002,M0340,5,2025-06-21T22:00:00
S000102,T0002,M0005,4,2025-06-28T10:00:00
S000103,T0002,M0192,5,2025-06-26T10:00:00
S000104,T0002,M0108,5,2025-06-22T13:00:00
S000105,T0002,M0059,5,2025-06-21T13:00:00
S000106,T0002,M0419,3,2025-06-26T16:00:00
S000107,T0002,M0004,3,2025-06-25T16:00:00
S000108,T0002,M0205,2,2025-06-23T13:00:00
S000109,T0002,M0166,4,2025-06-27T22:00:00
S000110,T0002,M0239,1,2025-06-21T10:00:00
S000111,T0002,M0056,5,2025-06-21T19:00:00
S000112,T0002,M0461,3,2025-06-21T16:00:00
S000113,T0002,M0194,3,2025-06-27T22:00:00
S000114,T0002,M0225,2,2025-06-25T16:00:00
S000115,T0002,M0278,3,2025-06-30T10:00:00
S000116,T0002,M0311,2,2025-06-28T10:00:00
S000117,T0002,M0368,3,2025-06-28T22:00:00
S000118,T0002,M0332,1,2025-06-29T13:00:00
S000119,T0002,M0193,5,2025-06-22T13:00:00
S000120,T0002,M0387,4,2025-06-27T19:00:00
S000121,T0002,M0370,3,2025-06-22T16:00:00
S000122,T0002,M0473,4,2025-06-27T13:00:00
S000123,T0002,M0436,5,2025-06-30T19:00:00
S000124,T0002,M0251,4,2025-06-23T10:00:00
S000125,T0002,M0033,4,2025-06-20T19:00:00
S000126,T0002,M0429,3,2025-06-23T13:00:00
S000127,T0002,M0184,1,2025-06-28T16:00:00
S000128,T0002,M0254,4,2025-06-23T13:00:00
S000129,T0002,M0206,4,2025-06-23T19:00:00
S000130,T0002,M0188,2,2025-06-25T10:00:00
S000131,T0002,M0093,5,2025-06-23T19:00:00
S000132,T0002,M0421,2,2025-06-29T10:00:00
S000133,T0002,M0440,1,2025-06-30T10:00:00
S000134,T0002,M0416,1,2025-06-28T13:00:00
S000135,T0002,M0389,4,2025-06-28T19:00:00
S000136,T0002,M0237,4,2025-06-21T16:00:00
S000137,T0002,M0069,2,2025-06-27T19:00:00
S000138,T0002,M0185,2,2025-06-28T10:00:00
S000139,T0002,M0363,3,2025-06-28T13:00:00
S000140,T0002,M0244,1,2025-06-25T13:00:00
S000141,T0002,M0144,3,2025-06-25T10:00:00
S000142,T0002,M0037,2,2025-06-30T10:00:00
S000143,T0002,M0478,4,2025-06-20T22:00:00
S000144,T0002,M0073,3,2025-06-20T19:00:00
S000145,T0002,M0259,3,2025-06-29T10:00:00
S000146,T0002,M0265,3,2025-06-25T19:00:00
S000147,T0002,M0053,4,2025-06-20T10:00:00
S000148,T0002,M0438,3,2025-06-23T22:00:00
S000149,T0002,M0298,2,2025-06-30T13:00:00
S000150,T0002,M0132,2,2025-06-30T16:00:00
S000151,T0002,M0206,5,2025-06-26T13:00:00
S000152,T0002,M0488,2,2025-06-26T13:00:00
S000153,T0002,M0023,2,2025-06-20T13:00:00
S000154,T0002,M0081,3,2025-06-24T10:00:00
S000155,T0002,M0256,3,2025-06-30T19:00:00
S000156,T0002,M0275,3,2025-06-20T16:00:00
S000157,T0002,M0147,3,2025-06-25T16:00:00
S000158,T0002,M0240,1,2025-06-29T16:00:00
S000159,T0002,M0189,2,2025-06-25T16:00:00
S000160,T0002,M0245,3,2025-06-24T19:00:00
S000161,T0002,M0489,5,2025-06-22T19:00:00
S000162,T0002,M0494,4,2025-06-20T13:00:00
S000163,T0002,M0179,1,2025-06-29T10:00:00
S000164,T0002,M0050,4,2025-06-23T10:00:00
S000165,T0002,M0054,3,2025-06-30T16:00:00
S000166,T0002,M0030,4,2025-06-27T10:00:00
S000167,T0002,M0032,5,2025-06-29T19:00:00
S000168,T0002,M0371,4,2025-06-29T16:00:00
S000169,T0002,M0267,2,2025-06-28T22:00:00
S000170,T0002,M0059,3,2025-06-24T10:00:00
S000171,T0002,M0269,4,2025-06-22T10:00:00
S000172,T0002,M0459,5,2025-06-20T10:00:00
S000173,T0002,M0168,4,2025-06-27T19:00:00
S000174,T0002,M0395,1,2025-06-21T13:00:00
S000175,T0002,M0321,1,2025-06-23T10:00:00
S000176,T0002,M0408,1,2025-06-23T10:00:00
S000177,T0002,M0122,5,2025-06-20T16:00:00
S000178,T0002,M0363,4,2025-06-30T10:00:00
S000179,T0002,M0339,2,2025-06-27T13:00:00
S000180,T0002,M0281,5,2025-06-30T19:00:00
S000181,T0002,M0318,4,2025-06-22T13:00:00
S000182,T0002,M0317,4,2025-06-26T16:00:00
S000183,T0002,M0496,4,2025-06-26T16:00:00
S000184,T0002,M0496,2,2025-06-24T13:00:00
S000185,T0002,M0403,2,2025-06-27T22:00:00
S000186,T0002,M0167,4,2025-06-30T16:00:00
S000187,T0002,M0241,3,2025-06-20T10:00:00
S000188,T0002,M0253,1,2025-06-29T19:00:00
S000189,T0002,M0494,4,2025-06-30T13:00:00
S000190,T0002,M0153,5,2025-06-27T22:00:00
S000191,T0002,M0196,4,2025-06-26T22:00:00
S000192,T0002,M0470,3,2025-06-29T13:00:00
S000193,T0002,M0072,5,2025-06-26T19:00:00
S000194,T0002,M0027,1,2025-06-24T16:00:00
S000195,T0002,M0349,3,2025-06-21T19:00:00
S000196,T0002,M0160,5,2025-06-23T13:00:00
S000197,T0002,M0137,1,2025-06-30T22:00:00
S000198,T0002,M0142,5,2025-06-28T19:00:00
S000199,T0002,M0465,3,2025-06-20T10:00:00
S000200,T0002,M0417,2,2025-06-22T10:00:00
S000201,T0003,M0348,3,2025-06-29T16:00:00
S000202,T0003,M0125,5,2025-06-28T19:00:00
S000203,T0003,M0289,1,2025-06-27T10:00:00
S000204,T0003,M0166,3,2025-06-25T22:00:00
S000205,T0003,M0390,5,2025-06-26T10:00:00
S000206,T0003,M0349,2,2025-06-23T22:00:00
S000207,T0003,M0318,4,2025-06-28T10:00:00
S000208,T0003,M0133,2,2025-06-27T13:00:00
S000209,T0003,M0306,2,2025-06-26T16:00:00
S000210,T0003,M0178,3,2025-06-28T22:00:00
S000211,T0003,M0089,5,2025-06-26T13:00:00
S000212,T0003,M0297,5,2025-06-30T22:00:00
S000213,T0003,M0248,5,2025-06-30T13:00:00
S000214,T0003,M0441,4,2025-06-26T13:00:00
S000215,T0003,M0261,3,2025-06-25T16:00:00
S000216,T0003,M0424,4,2025-06-21T10:00:00
S000217,T0003,M0211,1,2025-06-27T22:00:00
S000218,T0003,M0176,2,2025-06-21T19:00:00
S000219,T0003,M0404,4,2025-06-21T16:00:00
S000220,T0003,M0312,1,2025-06-20T19:00:00
S000221,T0003,M0246,1,2025-06-29T22:00:00
S000222,T0003,M0147,5,2025-06-30T16:00:00
S000223,T0003,M0410,2,2025-06-23T19:00:00
S000224,T0003,M0191,3,2025-06-28T22:00:00
S000225,T0003,M0077,1,2025-06-21T16:00:00
S000226,T0003,M0403,5,2025-06-27T19:00:00
S000227,T0003,M0260,1,2025-06-30T19:00:00
S000228,T0003,M0399,1,2025-06-26T16:00:00
S000229,T0003,M0172,1,2025-06-20T19:00:00
S000230,T0003,M0219,1,2025-06-25T22:00:00
S000231,T0003,M0361,3,2025-06-21T22:00:00
S000232,T0003,M0141,1,2025-06-29T19:00:00
S000233,T0003,M0333,1,2025-06-20T22:00:00
S000234,T0003,M0444,5,2025-06-27T19:00:00
S000235,T0003,M0112,1,2025-06-22T22:00:00
S000236,T0003,M0239,5,2025-06-20T22:00:00
S000237,T0003,M0283,4,2025-06-27T13:00:00
S000238,T0003,M0435,4,2025-06-29T16:00:00
S000239,T0003,M0053,4,2025-06-21T13:00:00
S000240,T0003,M0083,2,2025-06-26T16:00:00
S000241,T0003,M0226,4,2025-06-22T13:00:00
S000242,T0003,M0272,5,2025-06-23T13:00:00
S000243,T0003,M0327,5,2025-06-21T13:00:00
S000244,T0003,M0237,1,2025-06-21T13:00:00
S000245,T0003,M0400,3,2025-06-30T10:00:00
S000246,T0003,M0349,1,2025-06-23T22:00:00
S000247,T0003,M0407,3,2025-06-21T16:00:00
S000248,T0003,M0454,1,2025-06-21T16:00:00
S000249,T0003,M0141,4,2025-06-30T16:00:00
S000250,T0003,M0451,2,2025-06-27T16:00:00
S000251,T0003,M0180,2,2025-06-25T19:00:00
S000252,T0003,M0406,1,2025-06-30T22:00:00
S000253,T0003,M0164,2,2025-06-26T10:00:00
S000254,T0003,M0223,1,2025-06-25T13:00:00
S000255,T0003,M0059,5,2025-06-30T10:00:00
S000256,T0003,M0169,2,2025-06-24T13:00:00
S000257,T0003,M0096,1,2025-06-26T13:00:00
S000258,T0003,M0373,1,2025-06-30T22:00:00
S000259,T0003,M0432,2,2025-06-25T22:00:00
S000260,T0003,M0432,1,2025-06-29T19:00:00
S000261,T0003,M0221,5,2025-06-27T22:00:00
S000262,T0003,M0136,1,2025-06-25T22:00:00
S000263,T0003,M0261,4,2025-06-22T10:00:00
S000264,T0003,M0190,4,2025-06-27T10:00:00
S000265,T0003,M0154,5,2025-06-28T16:00:00
S000266,T0003,M0257,5,2025-06-26T22:00:00
S000267,T0003,M0154,3,2025-06-29T22:00:00
S000268,T0003,M0114,5,2025-06-26T13:00:00
S000269,T0003,M0339,5,2025-06-27T13:00:00
S000270,T0003,M0428,5,2025-06-21T13:00:00
S000271,T0003,M0479,3,2025-06-26T16:00:00
S000272,T0003,M0039,1,2025-06-26T13:00:00
S000273,T0003,M0073,4,2025-06-20T10:00:00
S000274,T0003,M0245,5,2025-06-30T13:00:00
S000275,T0003,M0201,1,2025-06-29T16:00:00
S000276,T0003,M0337,1,2025-06-26T16:00:00
S000277,T0003,M0160,1,2025-06-20T22:00:00
S000278,T0003,M0194,3,2025-06-20T10:00:00
S000279,T0003,M0222,2,2025-06-30T16:00:00
S000280,T0003,M0053,5,2025-06-25T10:00:00
S000281,T0003,M0263,5,2025-06-30T22:00:00
S000282,T0003,M0234,4,2025-06-30T13:00:00
S000283,T0003,M0421,5,2025-06-20T22:00:00
S000284,T0003,M0451,5,2025-06-29T16:00:00
S000285,T0003,M0371,5,2025-06-21T13:00:00
S000286,T0003,M0107,3,2025-06-21T10:00:00
S000287,T0003,M0105,1,2025-06-23T13:00:00
S000288,T0003,M0150,2,2025-06-23T10:00:00
S000289,T0003,M0480,5,2025-06-21T16:00:00
S000290,T0003,M0456,3,2025-06-20T10:00:00
S000291,T0003,M0487,3,2025-06-21T22:00:00
S000292,T0003,M0248,3,2025-06-26T16:00:00
S000293,T0003,M0230,3,2025-06-20T13:00:00
S000294,T0003,M0406,3,2025-06-24T22:00:00
S000295,T0003,M0282,4,2025-06-20T19:00:00
S000296,T0003,M0365,4,2025-06-29T10:00:00
S000297,T0003,M0067,5,2025-06-22T22:00:00
S000298,T0003,M0015,4,2025-06-24T13:00:00
S000299,T0003,M0269,3,2025-06-23T16:00:00
S000300,T0003,M0320,5,2025-06-21T22:00:00
S000301,T0004,M0352,5,2025-06-23T13:00:00
S000302,T0004,M0279,1,2025-06-27T16:00:00
S000303,T0004,M0493,3,2025-06-23T19:00:00
S000304,T0004,M0313,5,2025-06-29T13:00:00
S000305,T0004,M0330,4,2025-06-27T16:00:00
S000306,T0004,M0488,2,2025-06-29T22:00:00
S000307,T0004,M0001,4,2025-06-21T10:00:00
S000308,T0004,M0081,5,2025-06-26T22:00:00
S000309,T0004,M0444,2,2025-06-30T19:00:00
S000310,T0004,M0176,1,2025-06-25T13:00:00
S000311,T0004,M0097,5,2025-06-24T10:00:00
S000312,T0004,M0310,5,2025-06-21T10:00:00
S000313,T0004,M0071,2,2025-06-23T13:00:00
S000314,T0004,M0213,5,2025-06-25T16:00:00
S000315,T0004,M0195,2,2025-06-24T19:00:00
S000316,T0004,M0483,2,2025-06-21T16:00:00
S000317,T0004,M0247,3,2025-06-30T16:00:00
S000318,T0004,M0243,5,2025-06-29T13:00:00
S000319,T0004,M0491,2,2025-06-22T22:00:00
S000320,T0004,M0491,2,2025-06-26T13:00:00
S000321,T0004,M0286,4,2025-06-29T22:00:00
S000322,T0004,M0325,4,2025-06-23T13:00:00
S000323,T0004,M0461,2,2025-06-30T10:00:00
S000324,T0004,M0390,2,2025-06-24T13:00:00
S000325,T0004,M0154,1,2025-06-20T13:00:00
S000326,T0004,M0140,3,2025-06-25T13:00:00
S000327,T0004,M0336,1,2025-06-25T22:00:00
S000328,T0004,M0114,5,2025-06-22T22:00:00
S000329,T0004,M0086,4,2025-06-29T13:00:00
S000330,T0004,M0270,4,2025-06-27T10:00:00
S000331,T0004,M0302,2,2025-06-28T16:00:00
S000332,T0004,M0138,1,2025-06-23T10:00:00
S000333,T0004,M0285,5,2025-06-23T16:00:00
S000334,T0004,M0221,1,2025-06-26T13:00:00
S000335,T0004,M0200,1,2025-06-30T19:00:00
S000336,T0004,M0259,4,2025-06-20T19:00:00
S000337,T0004,M0115,4,2025-06-27T16:00:00
S000338,T0004,M0388,4,2025-06-27T22:00:00
S000339,T0004,M0421,4,2025-06-28T10:00:00
S000340,T0004,M0018,3,2025-06-22T13:00:00
S000341,T0004,M0006,2,2025-06-20T19:00:00
S000342,T0004,M0039,1,2025-06-28T16:00:00
S000343,T0004,M0346,4,2025-06-24T16:00:00
S000344,T0004,M0022,1,2025-06-20T16:00:00
S000345,T0004,M0128,1,2025-06-22T13:00:00
S000346,T0004,M0445,2,2025-06-28T16:00:00
S000347,T0004,M0250,1,2025-06-26T13:00:00
S000348,T0004,M0076,1,2025-06-28T10:00:00
S000349,T0004,M0268,3,2025-06-27T16:00:00
S000350,T0004,M0218,1,2025-06-27T16:00:00
S000351,T0004,M0122,1,2025-06-30T10:00:00
S000352,T0004,M0472,5,2025-06-26T22:00:00
S000353,T0004,M0476,2,2025-06-25T13:00:00
S000354,T0004,M0167,2,2025-06-22T13:00:00
S000355,T0004,M0198,5,2025-06-20T10:00:00
S000356,T0004,M0414,4,2025-06-21T22:00:00
S000357,T0004,M0486,5,2025-06-23T10:00:00
S000358,T0004,M0275,1,2025-06-21T16:00:00
S000359,T0004,M0384,5,2025-06-22T13:00:00
S000360,T0004,M0441,3,2025-06-29T22:00:00
S000361,T0004,M0134,2,2025-06-26T10:00:00
S000362,T0004,M0183,4,2025-06-25T13:00:00
S000363,T0004,M0262,5,2025-06-27T22:00:00
S000364,T0004,M0379,5,2025-06-25T13:00:00
S000365,T0004,M0372,3,2025-06-24T13:00:00
S000366,T0004,M0109,1,2025-06-26T10:00:00
S000367,T0004,M0229,1,2025-06-27T22:00:00
S000368,T0004,M0088,1,2025-06-20T19:00:00
S000369,T0004,M0293,1,2025-06-27T22:00:00
S000370,T0004,M0273,2,2025-06-29T22:00:00
S000371,T0004,M0312,1,2025-06-26T22:00:00
S000372,T0004,M0079,5,2025-06-21T19:00:00
S000373,T0004,M0183,1,2025-06-20T10:00:00
S000374,T0004,M0262,3,2025-06-20T19:00:00
S000375,T0004,M0146,3,2025-06-23T13:00:00
S000376,T0004,M0155,5,2025-06-29T19:00:00
S000377,T0004,M0386,4,2025-06-20T19:00:00
S000378,T0004,M0227,1,2025-06-23T16:00:00
S000379,T0004,M0228,1,2025-06-21T19:00:00
S000380,T0004,M0335,3,2025-06-22T19:00:00
S000381,T0004,M0069,3,2025-06-23T19:00:00
S000382,T0004,M0449,5,2025-06-26T10:00:00
S000383,T0004,M0214,4,2025-06-27T13:00:00
S000384,T0004,M0448,1,2025-06-24T22:00:00
S000385,T0004,M0052,1,2025-06-27T10:00:00
S000386,T0004,M0459,1,2025-06-28T13:00:00
S000387,T0004,M0452,1,2025-06-25T16:00:00
S000388,T0004,M0416,3,2025-06-24T13:00:00
S000389,T0004,M0193,5,2025-06-25T16:00:00
S000390,T0004,M0167,1,2025-06-21T19:00:00
S000391,T0004,M0291,5,2025-06-28T19:00:00
S000392,T0004,M0419,1,2025-06-22T19:00:00
S000393,T0004,M0161,3,2025-06-27T22:00:00
S000394,T0004,M0343,1,2025-06-30T13:00:00
S000395,T0004,M0383,4,2025-06-28T13:00:00
S000396,T0004,M0032,3,2025-06-27T22:00:00
S000397,T0004,M0096,2,2025-06-21T13:00:00
S000398,T0004,M0325,1,2025-06-28T10:00:00
S000399,T0004,M0015,4,2025-06-29T19:00:00
S000400,T0004,M0160,4,2025-06-23T22:00:00
S000401,T0005,M0375,2,2025-06-23T13:00:00
S000402,T0005,M0081,2,2025-06-24T10:00:00
S000403,T0005,M0102,3,2025-06-23T22:00:00
S000404,T0005,M0093,2,2025-06-28T13:00:00
S000405,T0005,M0170,2,2025-06-28T16:00:00
S000406,T0005,M0281,4,2025-06-21T19:00:00
S000407,T0005,M0090,1,2025-06-30T13:00:00
S000408,T0005,M0172,1,2025-06-29T22:00:00
S000409,T0005,M0422,1,2025-06-28T13:00:00
S000410,T0005,M0068,3,2025-06-25T13:00:00
S000411,T0005,M0014,4,2025-06-29T19:00:00
S000412,T0005,M0174,2,2025-06-29T10:00:00
S000413,T0005,M0285,1,2025-06-25T13:00:00
S000414,T0005,M0077,5,2025-06-23T13:00:00
S000415,T0005,M0363,4,2025-06-29T13:00:00
S000416,T0005,M0442,3,2025-06-27T19:00:00
S000417,T0005,M0093,4,2025-06-25T13:00:00
S000418,T0005,M0161,5,2025-06-28T10:00:00
S000419,T0005,M0442,5,2025-06-29T16:00:00
S000420,T0005,M0470,1,2025-06-30T10:00:00
S000421,T0005,M0254,1,2025-06-23T19:00:00
S000422,T0005,M0151,5,2025-06-21T10:00:00
S000423,T0005,M0030,5,2025-06-22T22:00:00
S000424,T0005,M0061,3,2025-06-21T10:00:00
S000425,T0005,M0187,2,2025-06-26T22:00:00
S000426,T0005,M0251,5,2025-06-20T19:00:00
S000427,T0005,M0346,5,2025-06-28T13:00:00
S000428,T0005,M0007,2,2025-06-27T19:00:00
S000429,T0005,M0481,1,2025-06-23T19:00:00
S000430,T0005,M0127,2,2025-06-26T22:00:00
S000431,T0005,M0457,2,2025-06-28T10:00:00
S000432,T0005,M0359,5,2025-06-28T10:00:00
S000433,T0005,M0304,3,2025-06-23T13:00:00
S000434,T0005,M0367,1,2025-06-26T22:00:00
S000435,T0005,M0323,2,2025-06-26T22:00:00
S000436,T0005,M0337,2,2025-06-24T13:00:00
S000437,T0005,M0411,2,2025-06-28T22:00:00
S000438,T0005,M0451,2,2025-06-23T13:00:00
S000439,T0005,M0195,1,2025-06-26T13:00:00
S000440,T0005,M0330,5,2025-06-21T19:00:00
S000441,T0005,M0327,1,2025-06-29T13:00:00
S000442,T0005,M0313,5,2025-06-29T13:00:00
S000443,T0005,M0066,3,2025-06-22T13:00:00
S000444,T0005,M0129,5,2025-06-23T19:00:00
S000445,T0005,M0401,3,2025-06-28T19:00:00
S000446,T0005,M0171,5,2025-06-25T19:00:00
S000447,T0005,M0426,1,2025-06-22T10:00:00
S000448,T0005,M0460,3,2025-06-28T19:00:00
S000449,T0005,M0090,1,2025-06-20T10:00:00
S000450,T0005,M0140,2,2025-06-23T13:00:00
S000451,T0005,M0372,4,2025-06-24T22:00:00
S000452,T0005,M0441,1,2025-06-26T13:00:00
S000453,T0005,M0259,5,2025-06-29T16:00:00
S000454,T0005,M0003,1,2025-06-25T13:00:00
S000455,T0005,M0167,4,2025-06-28T10:00:00
S000456,T0005,M0200,1,2025-06-28T19:00:00
S000457,T0005,M0447,3,2025-06-25T13:00:00
S000458,T0005,M0201,2,2025-06-25T22:00:00
S000459,T0005,M0292,2,2025-06-26T19:00:00
S000460,T0005,M0452,4,2025-06-23T22:00:00
S000461,T0005,M0496,5,2025-06-29T22:00:00
S000462,T0005,M0449,2,2025-06-22T16:00:00
S000463,T0005,M0149,4,2025-06-28T13:00:00
S000464,T0005,M0167,5,2025-06-27T13:00:00
S000465,T0005,M0185,3,2025-06-24T13:00:00
S000466,T0005,M0416,5,2025-06-23T22:00:00
S000467,T0005,M0013,3,2025-06-21T19:00:00
S000468,T0005,M0207,2,2025-06-25T16:00:00
S000469,T0005,M0481,4,2025-06-25T19:00:00
S000470,T0005,M0049,1,2025-06-24T19:00:00
S000471,T0005,M0056,2,2025-06-22T13:00:00
S000472,T0005,M0172,5,2025-06-30T22:00:00
S000473,T0005,M0173,5,2025-06-24T10:00:00
S000474,T0005,M0244,4,2025-06-27T10:00:00
S000475,T0005,M0069,4,2025-06-26T22:00:00
S000476,T0005,M0114,5,2025-06-26T10:00:00
S000477,T0005,M0070,3,2025-06-21T16:00:00
S000478,T0005,M0256,1,2025-06-30T13:00:00
S000479,T0005,M0213,4,2025-06-27T13:00:00
S000480,T0005,M0129,2,2025-06-23T19:00:00
S000481,T0005,M0320,2,2025-06-30T19:00:00
S000482,T0005,M0307,3,2025-06-24T13:00:00
S000483,T0005,M0179,3,2025-06-27T13:00:00
S000484,T0005,M0438,2,2025-06-29T22:00:00
S000485,T0005,M0466,2,2025-06-25T10:00:00
S000486,T0005,M0358,3,2025-06-28T19:00:00
S000487,T0005,M0051,3,2025-06-20T22:00:00
S000488,T0005,M0155,4,2025-06-21T22:00:00
S000489,T0005,M0100,3,2025-06-30T19:00:00
S000490,T0005,M0324,1,2025-06-30T13:00:00
S000491,T0005,M0089,2,2025-06-23T13:00:00
S000492,T0005,M0365,5,2025-06-29T10:00:00
S000493,T0005,M0115,3,2025-06-25T16:00:00
S000494,T0005,M0384,4,2025-06-25T19:00:00
S000495,T0005,M0156,1,2025-06-21T13:00:00
S000496,T0005,M0465,1,2025-06-26T16:00:00
S000497,T0005,M0242,1,2025-06-29T16:00:00
S000498,T0005,M0458,1,2025-06-22T10:00:00
S000499,T0005,M0251,2,2025-06-29T13:00:00
S000500,T0005,M0204,3,2025-06-27T19:00:00
S000501,T0006,M0071,3,2025-06-22T16:00:00
S000502,T0006,M0001,4,2025-06-22T22:00:00
S000503,T0006,M0042,5,2025-06-29T22:00:00
S000504,T0006,M0406,3,2025-06-29T10:00:00
S000505,T0006,M0190,5,2025-06-28T22:00:00
S000506,T0006,M0298,3,2025-06-20T19:00:00
S000507,T0006,M0406,5,2025-06-30T13:00:00
S000508,T0006,M0129,4,2025-06-29T22:00:00
S000509,T0006,M0390,5,2025-06-29T13:00:00
S000510,T0006,M0054,3,2025-06-29T22:00:00
S000511,T0006,M0055,3,2025-06-22T16:00:00
S000512,T0006,M0268,1,2025-06-26T22:00:00
S000513,T0006,M0439,1,2025-06-29T19:00:00
S000514,T0006,M0157,3,2025-06-23T22:00:00
S000515,T0006,M0301,5,2025-06-20T13:00:00
S000516,T0006,M0205,2,2025-06-27T13:00:00
